1,4,491.806
1,1,639.268
1,2,77.2945
1,1,800.78
1,1,139.828
1,1,863.571
1,1,68.766
1,3,976.75
1,5,471.855
1,5,363.441
1,4,481.536
1,1,892.14
1,2,204.846
1,4,781.462
1,3,794.683
1,4,271.548
1,1,534.755
1,3,278.145
1,3,159.865
1,2,691.211
1,2,433.273
1,1,135.03
1,4,989.224
1,2,186.137
1,2,138.001
1,2,42.9211
1,4,984.243
1,5,247.211
1,2,191.457
1,3,357.11
1,2,984.584
1,1,699.362
1,5,447.244
1,4,990.264
1,1,988.886
1,3,990.785
1,1,295.346
1,4,902.478
1,3,852.521
1,2,110.42
1,1,911.333
1,3,425.138
1,3,202.275
1,4,730.966
1,4,455.155
1,5,440.366
1,3,838.013
1,4,89.0073
1,2,974.149
1,4,569.295
1,2,645.006
1,5,806.133
1,5,903.602
1,4,927.889
1,4,765.145
1,1,551.474
1,5,166.727
1,1,99.6577
1,1,337.18
1,5,402.803
1,2,399.55
1,1,764.684
1,5,872.159
1,4,581.243
1,4,488.194
1,5,645.308
1,2,415.564
1,2,95.7261
1,4,867.247
1,4,786.093
1,3,121.991
1,4,756.139
1,3,397.917
1,5,926.777
1,2,346.643
1,2,609.357
1,3,694.988
1,3,633.23
1,3,842.738
1,3,938.021
1,1,840.896
1,1,607.275
1,4,381.117
1,4,769.149
1,2,92.3991
1,5,660.708
1,3,65.6655
1,3,593.546
1,5,83.7628
1,4,880.715
1,3,138.686
1,4,36.2538
1,1,533.421
1,1,775.714
1,5,232.175
1,5,706.097
1,3,371.403
1,3,981.114
1,3,749.538
1,2,226.475
